Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Fri Nov 29 2013,8:00p,Washington Wizards,73,Indiana Pacers,93,Box Score,,18165,Bankers Life Fieldhouse,
Fri Nov 29 2013,8:00p,Golden State Warriors,112,Oklahoma City Thunder,113,Box Score,OT,18203,Chesapeake Energy Arena,
Fri Nov 29 2013,8:00p,New Orleans Pelicans,121,Philadelphia 76ers,105,Box Score,,17807,Wells Fargo Center,
Fri Nov 29 2013,9:00p,New York Knicks,95,Denver Nuggets,97,Box Score,,19155,Pepsi Center,
Fri Nov 29 2013,9:00p,Phoenix Suns,112,Utah Jazz,101,Box Score,,18435,EnergySolutions Arena,
Fri Nov 29 2013,10:00p,Los Angeles Clippers,104,Sacramento Kings,98,Box Score,OT,17317,Sleep Train Arena,
Sat Nov 30 2013,7:00p,Atlanta Hawks,101,Washington Wizards,108,Box Score,,14280,Verizon Center,
Sat Nov 30 2013,7:30p,Chicago Bulls,93,Cleveland Cavaliers,97,Box Score,,17296,Quicken Loans Arena,
Sat Nov 30 2013,8:00p,Brooklyn Nets,97,Memphis Grizzlies,88,Box Score,,17012,FedEx Forum,
Sat Nov 30 2013,8:30p,Minnesota Timberwolves,112,Dallas Mavericks,106,Box Score,,20173,American Airlines Center,
Sat Nov 30 2013,8:30p,Houston Rockets,112,San Antonio Spurs,106,Box Score,,18581,AT&T Center,
Sat Nov 30 2013,9:00p,Boston Celtics,85,Milwaukee Bucks,92,Box Score,,15471,BMO Harris Bradley Center,
Sat Nov 30 2013,9:00p,Utah Jazz,112,Phoenix Suns,104,Box Score,,12957,US Airways Center,
Sun Dec 1 2013,1:00p,Denver Nuggets,112,Toronto Raptors,98,Box Score,,16290,Air Canada Centre,
Sun Dec 1 2013,3:30p,Philadelphia 76ers,100,Detroit Pistons,115,Box Score,,14107,The Palace of Auburn Hills,
Sun Dec 1 2013,3:30p,Indiana Pacers,105,Los Angeles Clippers,100,Box Score,,19060,STAPLES Center,
Sun Dec 1 2013,6:00p,Charlotte Bobcats,98,Miami Heat,99,Box Score,,19617,AmericanAirlines Arena,
Sun Dec 1 2013,6:00p,Golden State Warriors,115,Sacramento Kings,113,Box Score,,15588,Sleep Train Arena,
Sun Dec 1 2013,7:00p,Minnesota Timberwolves,103,Oklahoma City Thunder,113,Box Score,,18203,Chesapeake Energy Arena,
Sun Dec 1 2013,7:30p,New Orleans Pelicans,103,New York Knicks,99,Box Score,,19812,Madison Square Garden (IV),
Sun Dec 1 2013,9:30p,Portland Trail Blazers,114,Los Angeles Lakers,108,Box Score,,18997,STAPLES Center,
Mon Dec 2 2013,7:00p,Orlando Magic,80,Washington Wizards,98,Box Score,,12809,Verizon Center,
Mon Dec 2 2013,8:00p,New Orleans Pelicans,131,Chicago Bulls,128,Box Score,3OT,21615,United Center,
Mon Dec 2 2013,8:30p,Atlanta Hawks,100,San Antonio Spurs,102,Box Score,,17318,AT&T Center,
Mon Dec 2 2013,9:00p,Houston Rockets,103,Utah Jazz,109,Box Score,,15801,EnergySolutions Arena,
Mon Dec 2 2013,10:00p,Indiana Pacers,102,Portland Trail Blazers,106,Box Score,,19023,Moda Center,
Tue Dec 3 2013,7:00p,Orlando Magic,125,Philadelphia 76ers,126,Box Score,2OT,10061,Wells Fargo Center,
Tue Dec 3 2013,7:30p,Milwaukee Bucks,100,Boston Celtics,108,Box Score,,16649,TD Garden,
Tue Dec 3 2013,7:30p,Denver Nuggets,111,Brooklyn Nets,87,Box Score,,17732,Barclays Center,
Tue Dec 3 2013,7:30p,Detroit Pistons,107,Miami Heat,97,Box Score,,19741,AmericanAirlines Arena,
Tue Dec 3 2013,8:00p,Phoenix Suns,91,Memphis Grizzlies,110,Box Score,,15069,FedEx Forum,
Tue Dec 3 2013,8:30p,Charlotte Bobcats,82,Dallas Mavericks,89,Box Score,,19612,American Airlines Center,
Tue Dec 3 2013,10:00p,Oklahoma City Thunder,97,Sacramento Kings,95,Box Score,,15089,Sleep Train Arena,
Tue Dec 3 2013,10:30p,Toronto Raptors,103,Golden State Warriors,112,Box Score,,19596,Oracle Arena,
Wed Dec 4 2013,7:00p,Denver Nuggets,88,Cleveland Cavaliers,98,Box Score,,14642,Quicken Loans Arena,
Wed Dec 4 2013,7:30p,Los Angeles Clippers,97,Atlanta Hawks,107,Box Score,,12020,Philips Arena,
Wed Dec 4 2013,8:00p,Phoenix Suns,97,Houston Rockets,88,Box Score,,18151,Toyota Center,
Wed Dec 4 2013,8:00p,Detroit Pistons,105,Milwaukee Bucks,98,Box Score,,12835,BMO Harris Bradley Center,
Wed Dec 4 2013,8:00p,Dallas Mavericks,100,New Orleans Pelicans,97,Box Score,,14524,Smoothie King Center,
Wed Dec 4 2013,9:00p,Indiana Pacers,95,Utah Jazz,86,Box Score,,15519,EnergySolutions Arena,
Wed Dec 4 2013,10:00p,Oklahoma City Thunder,104,Portland Trail Blazers,111,Box Score,,18950,Moda Center,
Thu Dec 5 2013,7:00p,New York Knicks,113,Brooklyn Nets,83,Box Score,,17732,Barclays Center,
Thu Dec 5 2013,8:00p,Los Angeles Clippers,101,Memphis Grizzlies,81,Box Score,,15112,FedEx Forum,
Thu Dec 5 2013,9:30p,Miami Heat,87,Chicago Bulls,107,Box Score,,22125,United Center,
Fri Dec 6 2013,7:00p,Philadelphia 76ers,88,Charlotte Bobcats,105,Box Score,,14088,Time Warner Cable Arena,
Fri Dec 6 2013,7:00p,Milwaukee Bucks,109,Washington Wizards,105,Box Score,OT,18194,Verizon Center,
Fri Dec 6 2013,7:30p,Cleveland Cavaliers,89,Atlanta Hawks,108,Box Score,,13282,Philips Arena,
Fri Dec 6 2013,7:30p,Denver Nuggets,98,Boston Celtics,106,Box Score,,17263,TD Garden,
Fri Dec 6 2013,7:30p,Orlando Magic,83,New York Knicks,121,Box Score,,19812,Madison Square Garden (IV),
Fri Dec 6 2013,8:00p,Golden State Warriors,83,Houston Rockets,105,Box Score,,18145,Toyota Center,
Fri Dec 6 2013,8:00p,Oklahoma City Thunder,109,New Orleans Pelicans,95,Box Score,,17694,Smoothie King Center,
Fri Dec 6 2013,9:00p,Toronto Raptors,97,Phoenix Suns,106,Box Score,,12672,US Airways Center,
Fri Dec 6 2013,10:00p,Utah Jazz,98,Portland Trail Blazers,130,Box Score,,19833,Moda Center,
Fri Dec 6 2013,10:00p,Los Angeles Lakers,106,Sacramento Kings,100,Box Score,,17317,Sleep Train Arena,
Sat Dec 7 2013,7:00p,Denver Nuggets,103,Philadelphia 76ers,92,Box Score,,13113,Wells Fargo Center,
Sat Dec 7 2013,7:30p,Los Angeles Clippers,82,Cleveland Cavaliers,88,Box Score,,16216,Quicken Loans Arena,
Sat Dec 7 2013,8:00p,Detroit Pistons,92,Chicago Bulls,75,Box Score,,21737,United Center,
Sat Dec 7 2013,8:00p,Golden State Warriors,108,Memphis Grizzlies,82,Box Score,,15088,FedEx Forum,
Sat Dec 7 2013,8:00p,Miami Heat,103,Minnesota Timberwolves,82,Box Score,,19888,Target Center,
Sat Dec 7 2013,8:30p,Brooklyn Nets,90,Milwaukee Bucks,82,Box Score,,14963,BMO Harris Bradley Center,
Sat Dec 7 2013,8:30p,Indiana Pacers,111,San Antonio Spurs,100,Box Score,,18581,AT&T Center,
Sat Dec 7 2013,9:00p,Sacramento Kings,112,Utah Jazz,102,Box Score,OT,16500,EnergySolutions Arena,
Sat Dec 7 2013,10:00p,Dallas Mavericks,108,Portland Trail Blazers,106,Box Score,,20142,Moda Center,
Sun Dec 8 2013,12:00p,Boston Celtics,114,New York Knicks,73,Box Score,,19812,Madison Square Garden (IV),
Sun Dec 8 2013,6:00p,Miami Heat,110,Detroit Pistons,95,Box Score,,18034,The Palace of Auburn Hills,
Sun Dec 8 2013,7:00p,Orlando Magic,88,Houston Rockets,98,Box Score,,16407,Toyota Center,
Sun Dec 8 2013,7:00p,Indiana Pacers,94,Oklahoma City Thunder,118,Box Score,,18203,Chesapeake Energy Arena,
Sun Dec 8 2013,9:30p,Toronto Raptors,106,Los Angeles Lakers,94,Box Score,,18997,STAPLES Center,
Mon Dec 9 2013,7:00p,Golden State Warriors,111,Charlotte Bobcats,115,Box Score,,13129,Time Warner Cable Arena,
Mon Dec 9 2013,7:00p,Los Angeles Clippers,94,Philadelphia 76ers,83,Box Score,,12355,Wells Fargo Center,
Mon Dec 9 2013,7:00p,Denver Nuggets,75,Washington Wizards,74,Box Score,,13293,Verizon Center,
Mon Dec 9 2013,8:00p,Orlando Magic,85,Memphis Grizzlies,94,Box Score,,13511,FedEx Forum,
Mon Dec 9 2013,9:00p,Portland Trail Blazers,105,Utah Jazz,94,Box Score,,17555,EnergySolutions Arena,
Mon Dec 9 2013,10:00p,Dallas Mavericks,97,Sacramento Kings,112,Box Score,,15329,Sleep Train Arena,
Tue Dec 10 2013,7:00p,New York Knicks,94,Cleveland Cavaliers,109,Box Score,,14580,Quicken Loans Arena,
Tue Dec 10 2013,7:00p,Miami Heat,84,Indiana Pacers,90,Box Score,,18165,Bankers Life Fieldhouse,
Tue Dec 10 2013,7:00p,San Antonio Spurs,116,Toronto Raptors,103,Box Score,,17702,Air Canada Centre,
Tue Dec 10 2013,7:30p,Oklahoma City Thunder,101,Atlanta Hawks,92,Box Score,,12503,Philips Arena,
Tue Dec 10 2013,7:30p,Boston Celtics,96,Brooklyn Nets,104,Box Score,,15738,Barclays Center,
Tue Dec 10 2013,7:30p,Minnesota Timberwolves,121,Detroit Pistons,94,Box Score,,11251,The Palace of Auburn Hills,
Tue Dec 10 2013,8:00p,Milwaukee Bucks,78,Chicago Bulls,74,Box Score,,21303,United Center,
Tue Dec 10 2013,10:30p,Phoenix Suns,114,Los Angeles Lakers,108,Box Score,,18997,STAPLES Center,
Wed Dec 11 2013,7:00p,Orlando Magic,92,Charlotte Bobcats,83,Box Score,,11377,Time Warner Cable Arena,
Wed Dec 11 2013,7:30p,Los Angeles Clippers,96,Boston Celtics,88,Box Score,,17587,TD Garden,
Wed Dec 11 2013,8:00p,Oklahoma City Thunder,116,Memphis Grizzlies,100,Box Score,,16345,FedEx Forum,
Wed Dec 11 2013,8:00p,San Antonio Spurs,109,Milwaukee Bucks,77,Box Score,,11087,BMO Harris Bradley Center,
Wed Dec 11 2013,8:00p,Philadelphia 76ers,99,Minnesota Timberwolves,106,Box Score,,13450,Target Center,
Wed Dec 11 2013,8:00p,Detroit Pistons,106,New Orleans Pelicans,111,Box Score,OT,14517,Smoothie King Center,
Wed Dec 11 2013,8:00p,Chicago Bulls,78,New York Knicks,83,Box Score,,19812,Madison Square Garden (IV),
Wed Dec 11 2013,10:00p,Utah Jazz,122,Sacramento Kings,101,Box Score,,15198,Sleep Train Arena,
Wed Dec 11 2013,10:30p,Dallas Mavericks,93,Golden State Warriors,95,Box Score,,19596,Oracle Arena,
Thu Dec 12 2013,8:00p,Los Angeles Clippers,93,Brooklyn Nets,102,Box Score,,15563,Barclays Center,
Thu Dec 12 2013,10:30p,Houston Rockets,104,Portland Trail Blazers,111,Box Score,,19997,Moda Center,
Fri Dec 13 2013,7:00p,Charlotte Bobcats,94,Indiana Pacers,99,Box Score,,18165,Bankers Life Fieldhouse,
Fri Dec 13 2013,7:00p,Cleveland Cavaliers,109,Orlando Magic,100,Box Score,,16119,Amway Center,
Fri Dec 13 2013,7:00p,Philadelphia 76ers,100,Toronto Raptors,108,Box Score,,17133,Air Canada Centre,
Fri Dec 13 2013,7:30p,Washington Wizards,99,Atlanta Hawks,101,Box Score,OT,11251,Philips Arena,
Fri Dec 13 2013,7:30p,New York Knicks,86,Boston Celtics,90,Box Score,,17479,TD Garden,
Fri Dec 13 2013,7:30p,Brooklyn Nets,99,Detroit Pistons,103,Box Score,,15159,The Palace of Auburn Hills,
Fri Dec 13 2013,8:00p,Memphis Grizzlies,98,New Orleans Pelicans,104,Box Score,,15516,Smoothie King Center,
Fri Dec 13 2013,8:00p,Los Angeles Lakers,97,Oklahoma City Thunder,122,Box Score,,18203,Chesapeake Energy Arena,
Fri Dec 13 2013,8:30p,Chicago Bulls,91,Milwaukee Bucks,90,Box Score,,15219,BMO Harris Bradley Center,
Fri Dec 13 2013,8:30p,Minnesota Timberwolves,110,San Antonio Spurs,117,Box Score,,18581,AT&T Center,
Fri Dec 13 2013,9:00p,Utah Jazz,103,Denver Nuggets,93,Box Score,,15616,Pepsi Center,
Fri Dec 13 2013,9:00p,Sacramento Kings,107,Phoenix Suns,116,Box Score,,14128,US Airways Center,
Fri Dec 13 2013,10:30p,Houston Rockets,116,Golden State Warriors,112,Box Score,,19596,Oracle Arena,
Sat Dec 14 2013,7:00p,Los Angeles Lakers,88,Charlotte Bobcats,85,Box Score,,17101,Time Warner Cable Arena,
Sat Dec 14 2013,7:00p,Los Angeles Clippers,113,Washington Wizards,97,Box Score,,16509,Verizon Center,
Sat Dec 14 2013,7:30p,Cleveland Cavaliers,107,Miami Heat,114,Box Score,,19656,AmericanAirlines Arena,
Sat Dec 14 2013,7:30p,Atlanta Hawks,106,New York Knicks,111,Box Score,,19812,Madison Square Garden (IV),
Sat Dec 14 2013,8:00p,Toronto Raptors,99,Chicago Bulls,77,Box Score,,21386,United Center,
Sat Dec 14 2013,8:00p,Portland Trail Blazers,139,Philadelphia 76ers,105,Box Score,,10189,Wells Fargo Center,
Sat Dec 14 2013,8:30p,Milwaukee Bucks,93,Dallas Mavericks,106,Box Score,,19973,American Airlines Center,
Sat Dec 14 2013,9:00p,San Antonio Spurs,100,Utah Jazz,84,Box Score,,19330,EnergySolutions Arena,
Sun Dec 15 2013,6:00p,Portland Trail Blazers,111,Detroit Pistons,109,Box Score,OT,13003,The Palace of Auburn Hills,
Sun Dec 15 2013,6:00p,Minnesota Timberwolves,101,Memphis Grizzlies,93,Box Score,,15417,FedEx Forum,
Sun Dec 15 2013,6:00p,Houston Rockets,91,Sacramento Kings,106,Box Score,,15606,Sleep Train Arena,
Sun Dec 15 2013,7:00p,Orlando Magic,98,Oklahoma City Thunder,101,Box Score,,18203,Chesapeake Energy Arena,
Sun Dec 15 2013,8:00p,New Orleans Pelicans,93,Denver Nuggets,102,Box Score,,15111,Pepsi Center,
Sun Dec 15 2013,8:00p,Golden State Warriors,102,Phoenix Suns,106,Box Score,,14393,US Airways Center,
Mon Dec 16 2013,7:00p,Detroit Pistons,101,Indiana Pacers,96,Box Score,,15443,Bankers Life Fieldhouse,
Mon Dec 16 2013,7:30p,Los Angeles Lakers,100,Atlanta Hawks,114,Box Score,,15146,Philips Arena,
Mon Dec 16 2013,7:30p,Minnesota Timberwolves,97,Boston Celtics,101,Box Score,,17071,TD Garden,
Mon Dec 16 2013,7:30p,Philadelphia 76ers,94,Brooklyn Nets,130,Box Score,,16733,Barclays Center,
Mon Dec 16 2013,7:30p,Utah Jazz,94,Miami Heat,117,Box Score,,19600,AmericanAirlines Arena,
Mon Dec 16 2013,7:30p,Washington Wizards,102,New York Knicks,101,Box Score,,19812,Madison Square Garden (IV),
Mon Dec 16 2013,8:00p,Orlando Magic,83,Chicago Bulls,82,Box Score,,21200,United Center,
Mon Dec 16 2013,10:30p,San Antonio Spurs,92,Los Angeles Clippers,115,Box Score,,19253,STAPLES Center,
Tue Dec 17 2013,7:00p,Sacramento Kings,87,Charlotte Bobcats,95,Box Score,,11339,Time Warner Cable Arena,
Tue Dec 17 2013,7:00p,Portland Trail Blazers,119,Cleveland Cavaliers,116,Box Score,,15689,Quicken Loans Arena,
Tue Dec 17 2013,8:00p,Los Angeles Lakers,96,Memphis Grizzlies,92,Box Score,,17217,FedEx Forum,
Tue Dec 17 2013,9:00p,Oklahoma City Thunder,105,Denver Nuggets,93,Box Score,,17035,Pepsi Center,
Tue Dec 17 2013,10:30p,New Orleans Pelicans,93,Golden State Warriors,104,Box Score,,19596,Oracle Arena,
Wed Dec 18 2013,7:00p,Indiana Pacers,94,Miami Heat,97,Box Score,,19898,AmericanAirlines Arena,
Wed Dec 18 2013,7:00p,Utah Jazz,86,Orlando Magic,82,Box Score,,15574,Amway Center,
Wed Dec 18 2013,7:00p,Charlotte Bobcats,104,Toronto Raptors,102,Box Score,OT,15201,Air Canada Centre,
Wed Dec 18 2013,7:30p,Sacramento Kings,107,Atlanta Hawks,124,Box Score,,10185,Philips Arena,
Wed Dec 18 2013,7:30p,Detroit Pistons,107,Boston Celtics,106,Box Score,,17101,TD Garden,
Wed Dec 18 2013,7:30p,Washington Wizards,113,Brooklyn Nets,107,Box Score,,16187,Barclays Center,
Wed Dec 18 2013,8:00p,New York Knicks,107,Milwaukee Bucks,101,Box Score,2OT,11869,BMO Harris Bradley Center,
Wed Dec 18 2013,8:00p,Portland Trail Blazers,109,Minnesota Timberwolves,120,Box Score,,13776,Target Center,
Wed Dec 18 2013,8:30p,Memphis Grizzlies,91,Dallas Mavericks,105,Box Score,,19425,American Airlines Center,
Wed Dec 18 2013,9:00p,San Antonio Spurs,108,Phoenix Suns,101,Box Score,,13661,US Airways Center,
Wed Dec 18 2013,9:30p,Chicago Bulls,94,Houston Rockets,109,Box Score,,18242,Toyota Center,
Wed Dec 18 2013,10:30p,New Orleans Pelicans,95,Los Angeles Clippers,108,Box Score,,19060,STAPLES Center,
Thu Dec 19 2013,8:00p,Chicago Bulls,95,Oklahoma City Thunder,107,Box Score,,18203,Chesapeake Energy Arena,
Thu Dec 19 2013,10:30p,San Antonio Spurs,104,Golden State Warriors,102,Box Score,,19596,Oracle Arena,
Fri Dec 20 2013,7:00p,Brooklyn Nets,120,Philadelphia 76ers,121,Box Score,OT,15267,Wells Fargo Center,
Fri Dec 20 2013,7:30p,Utah Jazz,85,Atlanta Hawks,118,Box Score,,11150,Philips Arena,
Fri Dec 20 2013,7:30p,Milwaukee Bucks,111,Cleveland Cavaliers,114,Box Score,OT,19058,Quicken Loans Arena,
Fri Dec 20 2013,7:30p,Charlotte Bobcats,116,Detroit Pistons,106,Box Score,,12453,The Palace of Auburn Hills,
Fri Dec 20 2013,7:30p,Sacramento Kings,103,Miami Heat,122,Box Score,,19600,AmericanAirlines Arena,
Fri Dec 20 2013,8:00p,Houston Rockets,81,Indiana Pacers,114,Box Score,,18165,Bankers Life Fieldhouse,
Fri Dec 20 2013,8:30p,Toronto Raptors,109,Dallas Mavericks,108,Box Score,OT,19406,American Airlines Center,
Fri Dec 20 2013,9:00p,Phoenix Suns,103,Denver Nuggets,99,Box Score,,15974,Pepsi Center,
Fri Dec 20 2013,10:30p,Minnesota Timberwolves,91,Los Angeles Lakers,104,Box Score,,18997,STAPLES Center,
Sat Dec 21 2013,12:00p,Memphis Grizzlies,95,New York Knicks,87,Box Score,,19812,Madison Square Garden (IV),
Sat Dec 21 2013,1:00p,Washington Wizards,106,Boston Celtics,99,Box Score,,18169,TD Garden,
Sat Dec 21 2013,7:00p,Sacramento Kings,105,Orlando Magic,100,Box Score,,14283,Amway Center,
Sat Dec 21 2013,7:30p,Utah Jazz,88,Charlotte Bobcats,85,Box Score,,18078,Time Warner Cable Arena,
Sat Dec 21 2013,7:30p,Houston Rockets,114,Detroit Pistons,97,Box Score,,14606,The Palace of Auburn Hills,
Sat Dec 21 2013,8:00p,Cleveland Cavaliers,84,Chicago Bulls,100,Box Score,,21658,United Center,
Sat Dec 21 2013,8:30p,Philadelphia 76ers,106,Milwaukee Bucks,116,Box Score,,14541,BMO Harris Bradley Center,
Sat Dec 21 2013,8:30p,Oklahoma City Thunder,113,San Antonio Spurs,100,Box Score,,18581,AT&T Center,
Sat Dec 21 2013,9:00p,Dallas Mavericks,108,Phoenix Suns,123,Box Score,,15241,US Airways Center,
Sat Dec 21 2013,10:00p,New Orleans Pelicans,107,Portland Trail Blazers,110,Box Score,,20027,Moda Center,
Sat Dec 21 2013,10:30p,Los Angeles Lakers,83,Golden State Warriors,102,Box Score,,19596,Oracle Arena,
Sat Dec 21 2013,10:30p,Denver Nuggets,91,Los Angeles Clippers,112,Box Score,,19129,STAPLES Center,
Sun Dec 22 2013,6:00p,Boston Celtics,79,Indiana Pacers,106,Box Score,,18165,Bankers Life Fieldhouse,
Sun Dec 22 2013,7:00p,Toronto Raptors,104,Oklahoma City Thunder,98,Box Score,,18203,Chesapeake Energy Arena,
Sun Dec 22 2013,9:30p,Minnesota Timberwolves,116,Los Angeles Clippers,120,Box Score,OT,19304,STAPLES Center,
Mon Dec 23 2013,7:00p,Milwaukee Bucks,110,Charlotte Bobcats,111,Box Score,OT,13534,Time Warner Cable Arena,
Mon Dec 23 2013,7:00p,Detroit Pistons,115,Cleveland Cavaliers,92,Box Score,,19215,Quicken Loans Arena,
Mon Dec 23 2013,7:00p,New York Knicks,103,Orlando Magic,98,Box Score,,15105,Amway Center,
Mon Dec 23 2013,7:30p,Indiana Pacers,103,Brooklyn Nets,86,Box Score,,17732,Barclays Center,
Mon Dec 23 2013,7:30p,Atlanta Hawks,119,Miami Heat,121,Box Score,OT,20204,AmericanAirlines Arena,
Mon Dec 23 2013,8:00p,Dallas Mavericks,111,Houston Rockets,104,Box Score,,18328,Toyota Center,
Mon Dec 23 2013,8:00p,Utah Jazz,94,Memphis Grizzlies,104,Box Score,,16665,FedEx Forum,
Mon Dec 23 2013,8:30p,Toronto Raptors,99,San Antonio Spurs,112,Box Score,,18581,AT&T Center,
Mon Dec 23 2013,9:00p,Golden State Warriors,89,Denver Nuggets,81,Box Score,,18551,Pepsi Center,
Mon Dec 23 2013,9:00p,Los Angeles Lakers,90,Phoenix Suns,117,Box Score,,14814,US Airways Center,
Mon Dec 23 2013,10:00p,New Orleans Pelicans,113,Sacramento Kings,100,Box Score,,17317,Sleep Train Arena,
Wed Dec 25 2013,12:00p,Chicago Bulls,95,Brooklyn Nets,78,Box Score,,17732,Barclays Center,
Wed Dec 25 2013,2:30p,Oklahoma City Thunder,123,New York Knicks,94,Box Score,,19812,Madison Square Garden (IV),
Wed Dec 25 2013,5:00p,Miami Heat,101,Los Angeles Lakers,95,Box Score,,18997,STAPLES Center,
Wed Dec 25 2013,8:00p,Houston Rockets,111,San Antonio Spurs,98,Box Score,,18581,AT&T Center,
Wed Dec 25 2013,10:30p,Los Angeles Clippers,103,Golden State Warriors,105,Box Score,,19596,Oracle Arena,
Thu Dec 26 2013,7:00p,Atlanta Hawks,127,Cleveland Cavaliers,125,Box Score,2OT,18682,Quicken Loans Arena,
Thu Dec 26 2013,8:00p,Memphis Grizzlies,92,Houston Rockets,100,Box Score,,18201,Toyota Center,
Thu Dec 26 2013,8:30p,San Antonio Spurs,116,Dallas Mavericks,107,Box Score,,20305,American Airlines Center,
Thu Dec 26 2013,10:30p,Los Angeles Clippers,112,Portland Trail Blazers,116,Box Score,OT,20053,Moda Center,
Fri Dec 27 2013,7:00p,Oklahoma City Thunder,89,Charlotte Bobcats,85,Box Score,,18129,Time Warner Cable Arena,
Fri Dec 27 2013,7:00p,Detroit Pistons,92,Orlando Magic,109,Box Score,,16464,Amway Center,
Fri Dec 27 2013,7:30p,Milwaukee Bucks,93,Brooklyn Nets,104,Box Score,,17732,Barclays Center,
Fri Dec 27 2013,7:30p,Toronto Raptors,95,New York Knicks,83,Box Score,,19812,Madison Square Garden (IV),
Fri Dec 27 2013,8:00p,Washington Wizards,98,Minnesota Timberwolves,120,Box Score,,16473,Target Center,
Fri Dec 27 2013,8:00p,Denver Nuggets,89,New Orleans Pelicans,105,Box Score,,18089,Smoothie King Center,
Fri Dec 27 2013,9:00p,Los Angeles Lakers,103,Utah Jazz,105,Box Score,,19911,EnergySolutions Arena,
Fri Dec 27 2013,10:00p,Miami Heat,103,Sacramento Kings,108,Box Score,OT,17317,Sleep Train Arena,
Fri Dec 27 2013,10:30p,Phoenix Suns,86,Golden State Warriors,115,Box Score,,19596,Oracle Arena,
Sat Dec 28 2013,1:00p,Cleveland Cavaliers,100,Boston Celtics,103,Box Score,,18624,TD Garden,
Sat Dec 28 2013,7:00p,Brooklyn Nets,91,Indiana Pacers,105,Box Score,,18165,Bankers Life Fieldhouse,
Sat Dec 28 2013,7:00p,New York Knicks,100,Toronto Raptors,115,Box Score,,19800,Air Canada Centre,
Sat Dec 28 2013,7:00p,Detroit Pistons,82,Washington Wizards,106,Box Score,,19336,Verizon Center,
Sat Dec 28 2013,7:30p,Charlotte Bobcats,116,Atlanta Hawks,118,Box Score,OT,15180,Philips Arena,
Sat Dec 28 2013,8:00p,Dallas Mavericks,105,Chicago Bulls,83,Box Score,,22099,United Center,
Sat Dec 28 2013,8:00p,New Orleans Pelicans,98,Houston Rockets,107,Box Score,,18233,Toyota Center,
Sat Dec 28 2013,8:00p,Denver Nuggets,99,Memphis Grizzlies,120,Box Score,,17017,FedEx Forum,
Sat Dec 28 2013,8:30p,Minnesota Timberwolves,117,Milwaukee Bucks,95,Box Score,,14971,BMO Harris Bradley Center,
Sat Dec 28 2013,9:00p,Philadelphia 76ers,101,Phoenix Suns,115,Box Score,,15623,US Airways Center,
Sat Dec 28 2013,10:00p,Miami Heat,108,Portland Trail Blazers,107,Box Score,,20071,Moda Center,
Sat Dec 28 2013,10:30p,Utah Jazz,90,Los Angeles Clippers,98,Box Score,,19278,STAPLES Center,
Sun Dec 29 2013,6:00p,Golden State Warriors,108,Cleveland Cavaliers,104,Box Score,OT,19384,Quicken Loans Arena,
Sun Dec 29 2013,6:00p,Atlanta Hawks,102,Orlando Magic,109,Box Score,,15415,Amway Center,
Sun Dec 29 2013,7:00p,Houston Rockets,86,Oklahoma City Thunder,117,Box Score,,18203,Chesapeake Energy Arena,
Sun Dec 29 2013,7:00p,Sacramento Kings,104,San Antonio Spurs,112,Box Score,,18581,AT&T Center,
Sun Dec 29 2013,9:30p,Philadelphia 76ers,111,Los Angeles Lakers,104,Box Score,,18997,STAPLES Center,
Mon Dec 30 2013,7:30p,Washington Wizards,106,Detroit Pistons,99,Box Score,,15050,The Palace of Auburn Hills,
Mon Dec 30 2013,8:00p,Chicago Bulls,95,Memphis Grizzlies,91,Box Score,,17688,FedEx Forum,
Mon Dec 30 2013,8:00p,Dallas Mavericks,100,Minnesota Timberwolves,98,Box Score,,16111,Target Center,
Mon Dec 30 2013,8:00p,Portland Trail Blazers,108,New Orleans Pelicans,110,Box Score,,17035,Smoothie King Center,
Mon Dec 30 2013,9:00p,Miami Heat,97,Denver Nuggets,94,Box Score,,19155,Pepsi Center,
Mon Dec 30 2013,9:00p,Charlotte Bobcats,80,Utah Jazz,83,Box Score,,19125,EnergySolutions Arena,
Mon Dec 30 2013,10:30p,Phoenix Suns,107,Los Angeles Clippers,88,Box Score,,19278,STAPLES Center,
Tue Dec 31 2013,1:00p,Atlanta Hawks,92,Boston Celtics,91,Box Score,,18624,TD Garden,
Tue Dec 31 2013,3:00p,Cleveland Cavaliers,76,Indiana Pacers,91,Box Score,,18165,Bankers Life Fieldhouse,
Tue Dec 31 2013,5:00p,Golden State Warriors,94,Orlando Magic,81,Box Score,,15062,Amway Center,
Tue Dec 31 2013,7:00p,Sacramento Kings,110,Houston Rockets,106,Box Score,,18232,Toyota Center,
Tue Dec 31 2013,7:00p,Brooklyn Nets,92,San Antonio Spurs,113,Box Score,,17409,AT&T Center,
Tue Dec 31 2013,8:00p,Toronto Raptors,85,Chicago Bulls,79,Box Score,,21507,United Center,
Tue Dec 31 2013,8:00p,Portland Trail Blazers,98,Oklahoma City Thunder,94,Box Score,,18203,Chesapeake Energy Arena,
Tue Dec 31 2013,10:30p,Milwaukee Bucks,94,Los Angeles Lakers,79,Box Score,,18997,STAPLES Center,
Wed Jan 1 2014,6:00p,Dallas Mavericks,87,Washington Wizards,78,Box Score,,15713,Verizon Center,
Wed Jan 1 2014,7:00p,Indiana Pacers,82,Toronto Raptors,95,Box Score,,18271,Air Canada Centre,
