Team,FG%,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
Cleveland Cavaliers,0.47,0.384,0.528,0.748,9.3,34.4,43.7,22.7,6.6,4.0,13.7,18.1,110.3,2016
Washington Wizards,0.475,0.372,0.515,0.784,10.3,32.6,42.9,23.9,8.5,4.1,14.2,21.3,109.2,2016
Los Angeles Clippers,0.475,0.375,0.525,0.745,9.0,34.0,43.0,22.5,7.5,4.2,13.0,19.8,108.7,2016
Boston Celtics,0.454,0.359,0.515,0.807,9.1,32.9,42.0,25.2,7.5,4.1,13.3,20.6,108.0,2016
Portland Trail Blazers,0.459,0.375,0.499,0.78,10.1,33.5,43.7,21.1,7.0,5.0,13.7,21.2,107.9,2016
Phoenix Suns,0.45,0.332,0.491,0.776,11.9,33.1,45.0,19.6,8.2,4.9,15.4,24.8,107.7,2016
Toronto Raptors,0.464,0.363,0.505,0.796,10.6,32.6,43.3,18.5,8.3,4.9,12.7,20.8,106.9,2016
Oklahoma City Thunder,0.452,0.327,0.504,0.745,12.2,34.4,46.6,21.0,7.9,5.0,15.0,20.9,106.6,2016
Brooklyn Nets,0.444,0.338,0.506,0.788,8.8,35.1,43.9,21.4,7.2,4.7,16.5,21.0,105.8,2016
Minnesota Timberwolves,0.467,0.349,0.507,0.799,11.4,31.0,42.4,23.7,8.0,4.5,14.0,20.1,105.6,2016
San Antonio Spurs,0.469,0.391,0.5,0.797,10.0,33.9,43.9,23.8,8.0,5.9,13.4,18.3,105.3,2016
Indiana Pacers,0.465,0.376,0.498,0.81,9.0,33.0,42.0,22.5,8.2,5.0,13.8,19.5,105.1,2016
Charlotte Hornets,0.442,0.351,0.488,0.815,8.8,34.8,43.6,23.1,7.0,4.8,11.5,16.6,104.9,2016
Los Angeles Lakers,0.45,0.346,0.493,0.754,11.4,32.1,43.5,20.9,8.2,3.9,15.2,20.7,104.6,2016
New Orleans Pelicans,0.45,0.35,0.495,0.75,8.6,35.1,43.7,22.8,7.8,5.5,12.9,18.2,104.3,2016
New York Knicks,0.447,0.348,0.485,0.788,12.0,33.2,45.2,21.8,7.1,5.5,13.9,20.3,104.3,2016
Milwaukee Bucks,0.474,0.37,0.516,0.768,8.8,31.6,40.4,24.2,8.1,5.3,14.0,20.2,103.6,2016
Atlanta Hawks,0.451,0.341,0.501,0.728,10.3,34.1,44.3,23.6,8.2,4.8,15.8,18.2,103.2,2016
Miami Heat,0.455,0.365,0.496,0.706,10.6,33.0,43.6,21.2,7.2,5.7,13.4,20.5,103.2,2016
Chicago Bulls,0.444,0.34,0.479,0.798,12.2,34.1,46.3,22.6,7.8,4.8,13.6,17.7,102.9,2016
Sacramento Kings,0.461,0.376,0.496,0.775,8.7,32.3,41.1,22.5,7.6,4.0,14.6,20.3,102.8,2016
Philadelphia 76ers,0.442,0.34,0.496,0.771,9.8,33.0,42.8,23.8,8.4,5.1,16.7,21.9,102.4,2016
Detroit Pistons,0.449,0.33,0.492,0.719,11.1,34.6,45.7,21.1,7.0,3.8,11.9,17.9,101.3,2016
Orlando Magic,0.44,0.328,0.488,0.747,9.8,33.3,43.2,22.2,7.1,4.8,13.3,19.3,101.1,2016
Utah Jazz,0.466,0.372,0.511,0.747,9.4,33.8,43.2,20.1,6.7,5.0,13.6,18.8,100.7,2016
Memphis Grizzlies,0.435,0.354,0.473,0.784,10.8,32.0,42.8,21.3,8.0,4.2,12.9,22.4,100.5,2016
Dallas Mavericks,0.44,0.355,0.489,0.801,7.9,30.7,38.6,20.8,7.5,3.7,11.9,19.1,97.9,2016
Golden State Warriors,0.503,0.391,0.56,0.815,8.4,35.1,43.5,29.3,8.0,7.5,15.5,19.6,113.5,2017
Houston Rockets,0.46,0.362,0.558,0.781,9.0,34.5,43.5,21.5,8.5,4.8,13.8,19.5,112.4,2017
New Orleans Pelicans,0.483,0.362,0.54,0.772,8.7,35.7,44.3,26.8,8.0,5.9,14.9,19.1,111.7,2017
Toronto Raptors,0.472,0.358,0.541,0.794,9.8,34.2,44.0,24.3,7.6,6.1,13.4,21.7,111.7,2017
Cleveland Cavaliers,0.476,0.372,0.54,0.779,8.5,33.7,42.1,23.4,7.1,3.8,13.7,18.6,110.9,2017
Denver Nuggets,0.47,0.371,0.525,0.767,11.0,33.5,44.5,25.1,7.6,4.9,15.0,18.7,110.0,2017
Philadelphia 76ers,0.472,0.369,0.526,0.752,10.9,36.5,47.4,27.1,8.3,5.1,16.5,22.1,109.8,2017
Minnesota Timberwolves,0.476,0.357,0.519,0.804,10.3,31.6,42.0,22.7,8.4,4.2,12.5,18.2,109.5,2017
Los Angeles Clippers,0.471,0.354,0.525,0.743,10.1,33.7,43.9,22.3,7.7,4.5,14.7,20.0,109.0,2017
Charlotte Hornets,0.45,0.369,0.487,0.747,10.1,35.4,45.5,21.6,6.8,4.5,12.7,17.2,108.2,2017
Los Angeles Lakers,0.461,0.345,0.517,0.714,10.7,35.7,46.4,23.8,7.7,4.7,15.8,21.2,108.1,2017
Oklahoma City Thunder,0.453,0.354,0.505,0.716,12.5,32.6,45.1,21.3,9.1,5.0,14.0,20.2,107.9,2017
Washington Wizards,0.467,0.375,0.508,0.772,10.0,33.1,43.1,25.2,7.9,4.3,14.6,21.3,106.6,2017
Brooklyn Nets,0.441,0.356,0.5,0.772,9.7,34.8,44.4,23.7,6.2,4.8,15.2,20.6,106.6,2017
Milwaukee Bucks,0.478,0.355,0.531,0.783,8.4,31.5,39.8,23.2,8.8,5.4,13.8,21.4,106.5,2017
Indiana Pacers,0.472,0.369,0.513,0.779,9.6,32.7,42.3,22.2,8.8,4.1,13.3,18.8,105.6,2017
Portland Trail Blazers,0.452,0.366,0.493,0.8,10.2,35.3,45.5,19.5,7.0,5.2,13.5,19.5,105.6,2017
New York Knicks,0.464,0.352,0.504,0.787,10.5,33.6,44.0,23.3,6.7,5.1,14.7,20.5,104.5,2017
Utah Jazz,0.462,0.366,0.515,0.779,9.0,34.2,43.3,22.4,8.6,5.1,14.7,19.6,104.1,2017
Boston Celtics,0.45,0.377,0.491,0.771,9.4,35.1,44.5,22.5,7.4,4.5,14.0,19.7,104.0,2017
Phoenix Suns,0.442,0.334,0.492,0.741,10.3,33.9,44.1,21.3,6.9,4.5,15.7,22.0,103.9,2017
Detroit Pistons,0.45,0.373,0.488,0.745,10.1,33.6,43.7,22.8,7.7,3.9,13.5,18.4,103.8,2017
Miami Heat,0.455,0.36,0.508,0.755,9.3,34.2,43.5,22.7,7.6,5.3,14.4,20.1,103.4,2017
Orlando Magic,0.452,0.351,0.504,0.757,8.8,32.8,41.6,23.4,7.6,4.9,14.5,19.3,103.4,2017
Atlanta Hawks,0.446,0.36,0.495,0.785,9.1,32.8,41.9,23.7,7.8,4.2,15.6,19.6,103.4,2017
Chicago Bulls,0.435,0.355,0.478,0.759,9.6,35.0,44.7,23.5,7.6,3.5,14.0,19.2,102.9,2017
San Antonio Spurs,0.457,0.352,0.499,0.772,10.4,33.9,44.2,22.8,7.7,5.6,13.1,17.2,102.7,2017
Dallas Mavericks,0.444,0.36,0.496,0.763,8.1,33.1,41.3,22.7,7.0,3.8,12.3,19.2,102.3,2017
Memphis Grizzlies,0.444,0.352,0.486,0.786,9.5,31.0,40.5,21.5,7.5,4.8,15.0,23.2,99.3,2017
Sacramento Kings,0.45,0.375,0.479,0.735,9.5,31.4,40.9,21.6,7.8,4.1,13.7,20.0,98.8,2017
Milwaukee Bucks,0.476,0.353,0.565,0.773,9.3,40.4,49.7,26.0,7.5,5.9,13.9,19.6,118.1,2018
